    number     Model      flag   I_tilde   S_tilde      h_HL       Eta   Gamma_H   Gamma_L         r       w_H       w_L      w_HL      s_LH      s_LL       s_L
        31         3         1    0.5404    0.8816   -0.7075    0.4998    0.0792    0.1283    0.0612    0.0416    0.0277    1.5036    0.2996    0.4122    0.7117
        32         3         1    0.7619    0.9321   -0.7808    0.7360    0.0447    0.0720    0.0615    0.0297    0.0199    1.4895    0.2644    0.3299    0.5943
        33         3         1    0.7697    0.9362   -0.8432    0.7446    0.0419    0.0751    0.0628    0.0289    0.0206    1.4066    0.2593    0.3335    0.5928
        34         3         1    0.7774    0.9401   -0.9051    0.7530    0.0392    0.0783    0.0640    0.0281    0.0212    1.3287    0.2543    0.3373    0.5915
        35         3         1    0.7850    0.9438   -0.9666    0.7613    0.0366    0.0816    0.0653    0.0273    0.0218    1.2554    0.2494    0.3410    0.5904
        36         3         1    0.7924    0.9475   -1.0277    0.7694    0.0341    0.0848    0.0666    0.0265    0.0224    1.1864    0.2445    0.3449    0.5894
        37         3         1    0.7997    0.9509   -1.0882    0.7774    0.0317    0.0881    0.0679    0.0257    0.0229    1.1216    0.2397    0.3488    0.5885
        38         3         1    0.8069    0.9542   -1.1483    0.7853    0.0294    0.0913    0.0692    0.0249    0.0235    1.0606    0.2350    0.3527    0.5877
        39         3         1    0.8140    0.9574   -1.2079    0.7930    0.0272    0.0945    0.0706    0.0241    0.0240    1.0033    0.2304    0.3566    0.5870
        40         3         1    0.8209    0.9604   -1.2670    0.8007    0.0252    0.0976    0.0720    0.0232    0.0245    0.9493    0.2259    0.3605    0.5864
        41         3         1    0.8278    0.9632   -1.3256    0.8082    0.0232    0.1006    0.0734    0.0224    0.0249    0.8985    0.2216    0.3644    0.5859
        42         3         1    0.8346    0.9659   -1.3836    0.8157    0.0214    0.1035    0.0748    0.0216    0.0253    0.8507    0.2173    0.3682    0.5855
        43         3         1    0.8412    0.9685   -1.4412    0.8230    0.0196    0.1063    0.0762    0.0207    0.0257    0.8057    0.2132    0.3720    0.5852
        44         3         1    0.8478    0.9709   -1.4982    0.8302    0.0180    0.1089    0.0776    0.0199    0.0261    0.7634    0.2092    0.3758    0.5850
        45         3         1    0.8542    0.9731   -1.5547    0.8373    0.0165    0.1113    0.0791    0.0191    0.0263    0.7235    0.2053    0.3795    0.5849
        46         3         1    0.8606    0.9753   -1.6106    0.8443    0.0151    0.1135    0.0805    0.0182    0.0266    0.6860    0.2016    0.3832    0.5848
        47         3         1    0.8668    0.9773   -1.6660    0.8512    0.0137    0.1155    0.0820    0.0174    0.0267    0.6507    0.1980    0.3868    0.5848
        48         3         1    0.8728    0.9791   -1.7207    0.8579    0.0125    0.1172    0.0835    0.0166    0.0269    0.6176    0.1946    0.3902    0.5848
        49         3         1    0.8788    0.9808   -1.7747    0.8645    0.0114    0.1186    0.0849    0.0158    0.0269    0.5863    0.1913    0.3936    0.5850
        50         3         1    0.8846    0.9824   -1.8281    0.8709    0.0103    0.1198    0.0864    0.0150    0.0269    0.5570    0.1882    0.3969    0.5851
        51         3         1    0.8902    0.9839   -1.8807    0.8772    0.0094    0.1207    0.0878    0.0142    0.0269    0.5294    0.1852    0.4001    0.5853
        52         3         1    0.8957    0.9853   -1.9325    0.8833    0.0085    0.1212    0.0893    0.0135    0.0268    0.5036    0.1824    0.4032    0.5856
        53         3         1    0.9010    0.9865   -1.9835    0.8891    0.0077    0.1215    0.0907    0.0128    0.0266    0.4793    0.1797    0.4061    0.5858
        54         3         1    0.9060    0.9877   -2.0335    0.8948    0.0070    0.1216    0.0920    0.0121    0.0264    0.4566    0.1773    0.4089    0.5861
        55         3         1    0.9109    0.9887   -2.0826    0.9002    0.0063    0.1213    0.0934    0.0114    0.0262    0.4353    0.1749    0.4116    0.5865
        56         3         1    0.9155    0.9897   -2.1307    0.9054    0.0057    0.1208    0.0947    0.0108    0.0259    0.4153    0.1727    0.4141    0.5868
        57         3         1    0.9200    0.9905   -2.1778    0.9103    0.0052    0.1201    0.0959    0.0102    0.0256    0.3967    0.1707    0.4164    0.5872
        58         3         1    0.9241    0.9913   -2.2237    0.9149    0.0047    0.1193    0.0971    0.0096    0.0253    0.3792    0.1688    0.4187    0.5875
        59         3         1    0.9281    0.9920   -2.2686    0.9194    0.0043    0.1182    0.0982    0.0090    0.0249    0.3629    0.1671    0.4208    0.5879
        60         3         1    0.9318    0.9926   -2.3122    0.9235    0.0039    0.1170    0.0993    0.0085    0.0245    0.3477    0.1655    0.4227    0.5882
        61         3         1    0.9353    0.9932   -2.3547    0.9274    0.0036    0.1157    0.1004    0.0080    0.0241    0.3335    0.1640    0.4245    0.5885
