    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
        24         3         1    0.0417    0.0858    0.1902    0.6281    0.0419    0.0247 1090.6885 1034.7562    0.6929
        25         3         1    0.0418    0.0847    0.1901    0.6280    0.0421    0.0250 1092.0633 1036.7067    0.6824
        26         3         1    0.0419    0.0835    0.1900    0.6279    0.0424    0.0254 1093.4433 1038.6654    0.6719
        27         3         1    0.0420    0.0821    0.1899    0.6279    0.0426    0.0257 1094.8284 1040.6334    0.6614
        28         3         1    0.0420    0.0806    0.1898    0.6278    0.0429    0.0260 1096.2185 1042.6120    0.6510
        29         3         1    0.0421    0.0790    0.1897    0.6278    0.0431    0.0263 1097.6134 1044.6028    0.6405
        30         3         1    0.0421    0.0772    0.1896    0.6277    0.0433    0.0266 1099.0132 1046.6076    0.6300
        31         3         1    0.0421    0.0753    0.1895    0.6276    0.0435    0.0268 1100.4179 1048.6288    0.6194
        32         3         1    0.0379    0.0952    0.1938    0.6271    0.0348    0.0182 1081.9692 1013.9738    0.9137
        33         3         1    0.0386    0.0964    0.1957    0.6253    0.0346    0.0187 1104.3847 1038.3260    0.8530
        34         3         1    0.0391    0.0975    0.1973    0.6233    0.0344    0.0192 1127.9760 1063.9336    0.7941
        35         3         1    0.0397    0.0983    0.1986    0.6213    0.0342    0.0197 1152.8555 1090.9085    0.7373
        36         3         1    0.0401    0.0989    0.1997    0.6191    0.0339    0.0201 1179.1460 1119.3733    0.6824
        37         3         1    0.0405    0.0994    0.2005    0.6167    0.0335    0.0206 1206.9819 1149.4631    0.6295
        38         3         1    0.0409    0.0996    0.2012    0.6142    0.0331    0.0210 1236.5105 1181.3266    0.5786
        39         3         1    0.0411    0.0996    0.2016    0.6115    0.0326    0.0213 1267.8920 1215.1256    0.5297
        40         3         1    0.0413    0.0994    0.2018    0.6087    0.0321    0.0216 1301.3013 1251.0381    0.4828
        41         3         1    0.0414    0.0990    0.2018    0.6056    0.0315    0.0219 1336.9284 1289.2569    0.4378
        42         3         1    0.0415    0.0983    0.2015    0.6023    0.0309    0.0222 1374.9789 1329.9918    0.3947
        43         3         1    0.0414    0.0975    0.2011    0.5988    0.0302    0.0223 1415.6739 1373.4681    0.3535
        44         3         1    0.0413    0.0964    0.2006    0.5950    0.0295    0.0225 1459.2503 1419.9278    0.3141
        45         3         1    0.0410    0.0951    0.1998    0.5910    0.0288    0.0226 1505.9606 1469.6288    0.2766
        46         3         1    0.0407    0.0936    0.1989    0.5867    0.0280    0.0226 1556.0680 1522.8399    0.2409
        47         3         1    0.0403    0.0918    0.1978    0.5820    0.0272    0.0225 1609.8465 1579.8413    0.2070
        48         3         1    0.0397    0.0899    0.1966    0.5770    0.0264    0.0224 1667.5757 1640.9183    0.1749
        49         3         1    0.0391    0.0878    0.1952    0.5717    0.0255    0.0223 1729.5338 1706.3552    0.1444
        50         3         1    0.0384    0.0855    0.1938    0.5660    0.0246    0.0220 1795.9916 1776.4276    0.1158
        51         3         1    0.0376    0.0831    0.1922    0.5599    0.0237    0.0218 1867.2026 1851.3940    0.0887
        52         3         1    0.0368    0.0806    0.1906    0.5535    0.0228    0.0214 1943.3926 1931.4834    0.0634
        53         3         1    0.0359    0.0779    0.1889    0.5467    0.0219    0.0210 2024.7513 2016.8877    0.0397
        54         3         1    0.0349    0.0752    0.1871    0.5395    0.0209    0.0206 2111.4203 2107.7488    0.0176
        55         3         1    0.0339    0.0724    0.1854    0.5320    0.0200    0.0201 2203.4820 2204.1479   -0.0030
        56         3         1    0.0328    0.0696    0.1836    0.5241    0.0192    0.0196 2300.9566 2306.1018   -0.0221
        57         3         1    0.0317    0.0669    0.1818    0.5160    0.0183    0.0190 2403.7969 2413.5581   -0.0397
        58         3         1    0.0306    0.0641    0.1801    0.5075    0.0174    0.0185 2511.8890 2526.3960   -0.0560
        59         3         1    0.0295    0.0614    0.1784    0.4989    0.0166    0.0179 2625.0581 2644.4319   -0.0709
        60         3         1    0.0284    0.0587    0.1768    0.4901    0.0158    0.0173 2743.0748 2767.4269   -0.0846
        61         3         1    0.0274    0.0562    0.1752    0.4811    0.0151    0.0167 2865.6689 2895.1003   -0.0971
