    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
        10         3         1    0.0526    0.1444    0.1781    0.6193    0.0453    0.0245  301.0415  266.3496    1.1302
        10         3         1    0.0532    0.1443    0.1793    0.6211    0.0458    0.0252  304.2313  269.9203    1.1271
        10         3         1    0.0539    0.1442    0.1805    0.6227    0.0463    0.0258  307.4568  273.5383    1.1240
        10         3         1    0.0545    0.1441    0.1817    0.6243    0.0468    0.0264  310.7196  277.2050    1.1209
        10         3         1    0.0551    0.1440    0.1828    0.6259    0.0473    0.0271  314.0218  280.9222    1.1178
        10         3         1    0.0558    0.1439    0.1838    0.6274    0.0477    0.0277  317.3651  284.6914    1.1148
        10         3         1    0.0248    0.0430    0.1156    0.6294    0.0349    0.0113  269.2417  215.0159    1.2522
        10         3         1    0.0570    0.1435    0.1859    0.6302    0.0486    0.0290  324.1831  292.3928    1.1087
        10         3         1    0.0576    0.1433    0.1868    0.6316    0.0491    0.0297  327.6618  296.3285    1.1057
        10         3         1    0.0247    0.0439    0.1146    0.6286    0.0345    0.0112  274.8489  219.3948    1.2528
        10         3         1    0.0589    0.1428    0.1886    0.6341    0.0500    0.0310  334.7685  304.3796    1.0998
        10         3         1    0.0595    0.1426    0.1894    0.6353    0.0504    0.0317  338.4008  308.4989    1.0969
        10         3         1    0.0601    0.1423    0.1903    0.6365    0.0508    0.0324  342.0888  312.6837    1.0940
        10         3         1    0.0607    0.1420    0.1910    0.6376    0.0512    0.0331  345.8343  316.9358    1.0912
        10         3         1    0.0613    0.1417    0.1918    0.6387    0.0516    0.0338  349.6400  321.2578    1.0883
        10         3         1    0.0619    0.1414    0.1925    0.6398    0.0520    0.0345  353.5081  325.6519    1.0855
        10         3         1    0.0625    0.1411    0.1932    0.6408    0.0524    0.0352  357.4411  330.1207    1.0828
        10         3         1    0.0631    0.1408    0.1939    0.6418    0.0527    0.0359  361.4416  334.6665    1.0800
        10         3         1    0.0637    0.1404    0.1945    0.6428    0.0531    0.0366  365.5119  339.2922    1.0773
        10         3         1    0.0644    0.1401    0.1951    0.6437    0.0535    0.0373  369.6549  344.0004    1.0746
        10         3         1    0.0650    0.1397    0.1957    0.6446    0.0538    0.0380  373.8733  348.7941    1.0719
        10         3         1    0.0656    0.1393    0.1962    0.6455    0.0542    0.0388  378.1699  353.6761    1.0693
