    number     Model      flag        RD         g       g_N       g_I      g_hH      g_hL       p_N       p_I     eps_N     eps_I
         1         3         1    0.0359    0.0604    0.0578    0.0578    0.0026    0.0026    0.6878    0.4545    0.0398    0.0263
         1         3         1    0.0360    0.0608    0.0582    0.0582    0.0026    0.0026    0.6850    0.4527    0.0401    0.0265
         1         3         1    0.0361    0.0612    0.0586    0.0586    0.0026    0.0026    0.6823    0.4509    0.0404    0.0267
         1         3         1    0.0362    0.0616    0.0590    0.0590    0.0026    0.0026    0.6796    0.4491    0.0407    0.0269
         1         3         1    0.0363    0.0620    0.0594    0.0594    0.0026    0.0026    0.6769    0.4473    0.0410    0.0271
         1         3         1    0.0364    0.0623    0.0598    0.0598    0.0026    0.0026    0.6742    0.4455    0.0413    0.0273
         1         3         1    0.0365    0.0627    0.0602    0.0602    0.0025    0.0025    0.6715    0.4438    0.0416    0.0275
         1         3         1    0.0366    0.0631    0.0606    0.0606    0.0025    0.0025    0.6689    0.4420    0.0419    0.0277
         1         3         1    0.0367    0.0635    0.0610    0.0610    0.0025    0.0025    0.6663    0.4403    0.0422    0.0279
         1         3         1    0.0368    0.0639    0.0614    0.0614    0.0025    0.0025    0.6637    0.4386    0.0425    0.0281
         1         3         1    0.0369    0.0643    0.0617    0.0617    0.0025    0.0025    0.6611    0.4369    0.0428    0.0283
         1         3         1    0.0370    0.0647    0.0621    0.0621    0.0025    0.0025    0.6586    0.4352    0.0431    0.0285
         1         3         1    0.0371    0.0650    0.0625    0.0625    0.0025    0.0025    0.6561    0.4335    0.0434    0.0287
         1         3         1    0.0371    0.0654    0.0629    0.0629    0.0025    0.0025    0.6536    0.4319    0.0437    0.0289
         1         3         1    0.0372    0.0658    0.0633    0.0633    0.0025    0.0025    0.6511    0.4302    0.0440    0.0291
         1         3         1    0.0373    0.0662    0.0637    0.0637    0.0025    0.0025    0.6486    0.4286    0.0443    0.0293
         1         3         1    0.0374    0.0666    0.0641    0.0641    0.0025    0.0025    0.6462    0.4270    0.0446    0.0295
         1         3         1    0.0375    0.0670    0.0645    0.0645    0.0025    0.0025    0.6437    0.4254    0.0449    0.0297
         1         3         1    0.0376    0.0674    0.0649    0.0649    0.0025    0.0025    0.6413    0.4238    0.0452    0.0299
         1         3         1    0.0377    0.0678    0.0653    0.0653    0.0025    0.0025    0.6389    0.4222    0.0455    0.0301
         1         3         1    0.0378    0.0682    0.0657    0.0657    0.0025    0.0025    0.6366    0.4207    0.0459    0.0303
         1         3         1    0.0378    0.0686    0.0661    0.0661    0.0025    0.0025    0.6342    0.4191    0.0462    0.0305
         2         3         1    0.1510    0.0751    0.0740    0.0740    0.0011    0.0011    5.8093   -2.7572    0.0461    0.0305
         2         3         1    0.0204    0.0244    0.0208    0.0208    0.0036    0.0036    1.2171    0.8043    0.0112    0.0074
         2         3         1    0.0206    0.0247    0.0211    0.0211    0.0036    0.0036    1.2076    0.7980    0.0115    0.0076
         2         3         1    0.0208    0.0251    0.0215    0.0215    0.0036    0.0036    1.1983    0.7919    0.0117    0.0077
         2         3         1    0.0210    0.0254    0.0219    0.0219    0.0035    0.0035    1.1894    0.7860    0.0119    0.0079
         2         3         1    0.0211    0.0257    0.0222    0.0222    0.0035    0.0035    1.1806    0.7802    0.0121    0.0080
         2         3         1    0.0213    0.0261    0.0226    0.0226    0.0035    0.0035    1.1720    0.7745    0.0123    0.0082
         2         3         1    0.0215    0.0264    0.0229    0.0229    0.0035    0.0035    1.1637    0.7690    0.0126    0.0083
         2         3         1    0.0217    0.0268    0.0233    0.0233    0.0035    0.0035    1.1555    0.7636    0.0128    0.0084
         2         3         1    0.0219    0.0271    0.0237    0.0237    0.0034    0.0034    1.1476    0.7583    0.0130    0.0086
